run_id,test_id,browser,start_time,duration,result,failure_type,screenshot,trace,video,defect_id,notes
RUN-20260808-1,FLT004,chromium,2026-08-08T10:01:23,0.3s,passed,,,,,,
RUN-20260808-1,FLT005,chromium,2026-08-08T10:01:24,0.6s,passed,,,,,,
RUN-20260808-1,INT001,chromium,2026-08-08T10:01:25,1.3s,passed,,,,,,
RUN-20260808-1,INT002,chromium,2026-08-08T10:01:26,0.3s,passed,,,,,,
RUN-20260808-1,INT003,chromium,2026-08-08T10:01:27,1.3s,passed,,,,,,
RUN-20260808-1,INT004,chromium,2026-08-08T10:01:28,0.5s,passed,,,,,,
RUN-20260808-1,UPG001,chromium,2026-08-08T10:01:29,1.4s,passed,,,,,,
RUN-20260808-1,UPG002,chromium,2026-08-08T10:01:30,0.3s,passed,,,,,,
RUN-20260808-1,UPG003,chromium,2026-08-08T10:01:31,1.4s,passed,,,,,,
RUN-20260808-1,UPG004,chromium,2026-08-08T10:01:32,1.4s,passed,,,,,,
RUN-20260808-1,UPG005,chromium,2026-08-08T10:01:33,0.3s,passed,,,,,,
RUN-20260808-1,UPG006,chromium,2026-08-08T10:01:34,0.3s,passed,,,,,,
RUN-20260808-1,UPG007,chromium,2026-08-08T10:01:34,0.3s,passed,,,,,,
RUN-20260808-1,ALT001,chromium,2026-08-08T10:01:35,1.3s,passed,,,,,,
RUN-20260808-1,ALT002,chromium,2026-08-08T10:01:36,1.4s,passed,,,,,,
RUN-20260808-1,ALT003,chromium,2026-08-08T10:01:38,0.3s,passed,,,,,,
RUN-20260808-1,ALT004,chromium,2026-08-08T10:01:38,0.3s,passed,,,,,,
RUN-20260808-1,SYS001,chromium,2026-08-08T10:01:39,1.4s,passed,,,,,,
RUN-20260808-1,SYS002,chromium,2026-08-08T10:01:40,1.4s,passed,,,,,,
RUN-20260808-1,SYS003,chromium,2026-08-08T10:01:42,1.4s,passed,,,,,,
RUN-20260808-1,SYS004,chromium,2026-08-08T10:01:43,1.4s,passed,,,,,,
RUN-20260808-1,SYS005,chromium,2026-08-08T10:01:45,1.4s,passed,,,,,,
RUN-20260808-1,SYS006,chromium,2026-08-08T10:01:46,1.4s,passed,,,,,,
RUN-20260808-1,SYS007,chromium,2026-08-08T10:01:48,0.3s,passed,,,,,,
RUN-20260808-1,SYS008,chromium,2026-08-08T10:01:48,0.3s,passed,,,,,,
RUN-20260808-1,SYS009,chromium,2026-08-08T10:01:49,0.3s,passed,,,,,,
RUN-20260808-1,SYS010,chromium,2026-08-08T10:01:49,0.3s,passed,,,,,,
RUN-20260808-1,SYS011,chromium,2026-08-08T10:01:50,0.3s,passed,,,,,,
RUN-20260808-1,SYS012,chromium,2026-08-08T10:01:50,0.3s,passed,,,,,,
RUN-20260808-1,SYS013,chromium,2026-08-08T10:01:51,1.5s,passed,,,,,,
RUN-20260808-1,SYS014,chromium,2026-08-08T10:01:52,1.4s,passed,,,,,,
RUN-20260808-1,P001,chromium,2026-08-08T10:01:54,1.5s,passed,,,,,,
RUN-20260808-1,P002,chromium,2026-08-08T10:01:56,0.3s,passed,,,,,,
RUN-20260808-1,P003,chromium,2026-08-08T10:01:56,0.3s,passed,,,,,,
RUN-20260808-1,P004,chromium,2026-08-08T10:01:57,4.0s,passed,,,,,DC-001,
RUN-20260808-1,P005,chromium,2026-08-08T10:02:01,4.0s,passed,,,,,DC-001,
RUN-20260808-1,P006,chromium,2026-08-08T10:02:05,4.0s,passed,,,,,DC-001,
RUN-20260808-1,P007,chromium,2026-08-08T10:02:09,0.3s,passed,,,,,,
RUN-20260808-1,P008,chromium,2026-08-08T10:02:10,0.3s,passed,,,,,,
RUN-20260808-1,P009,chromium,2026-08-08T10:02:10,0.3s,passed,,,,,,
RUN-20260808-1,P010,chromium,2026-08-08T10:02:11,0.3s,passed,,,,,,
RUN-20260808-1,X001,chromium,2026-08-08T10:02:11,1.6s,passed,,,,,,
RUN-20260808-1,X002,chromium,2026-08-08T10:02:13,0.3s,passed,,,,,,
RUN-20260808-1,X003,chromium,2026-08-08T10:02:13,0.3s,passed,,,,,,
RUN-20260808-1,X004,chromium,2026-08-08T10:02:14,0.3s,passed,,,,,,
RUN-20260808-1,X005,chromium,2026-08-08T10:02:14,0.3s,passed,,,,,,
RUN-20260808-1,X006,chromium,2026-08-08T10:02:15,0.3s,passed,,,,,,
RUN-20260808-1,X007,chromium,2026-08-08T10:02:15,0.3s,passed,,,,,,
RUN-20260808-1,X008,chromium,2026-08-08T10:02:16,0.3s,passed,,,,,,
RUN-20260808-1,X009,chromium,2026-08-08T10:02:16,4.5s,passed,,,,,,No 500 errors
RUN-20260808-1,X010,chromium,2026-08-08T10:02:21,4.4s,passed,,,,,,No 500 errors
