module,url,http_method,view_class,auth_type,permission_code,tenant_filter,pagination,attachment,audit,idempotency,frontend_caller,existing_tests,risk_notes
upgrade,/api/upgrade/systems/<id>/,DELETE,SystemDeleteView,@auth,upgrade.upgrade.del,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_template.py,soft_delete
upgrade,/api/upgrade/templates/,GET,TemplateListView,@auth,upgrade.upgrade.view,apply_tenant_filter,yes,no,no,no,pages/upgrade/,test_template.py,
upgrade,/api/upgrade/templates/,POST,TemplateCreateView,@auth,upgrade.upgrade.add,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_template.py,
upgrade,/api/upgrade/templates/<id>/,PUT,TemplateUpdateView,@auth,upgrade.upgrade.edit,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_template.py,
upgrade,/api/upgrade/templates/<id>/,DELETE,TemplateDeleteView,@auth,upgrade.upgrade.del,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_template.py,soft_delete
upgrade,/api/upgrade/plans/,GET,PlanListView,@auth,upgrade.upgrade.view,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_plan_steps.py,
upgrade,/api/upgrade/plans/,POST,PlanCreateView,@auth,upgrade.upgrade.add,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_plan_steps.py,
upgrade,/api/upgrade/plans/<id>/,PUT,PlanUpdateView,@auth,upgrade.upgrade.edit,apply_tenant_filter,no,no,no,no,pages/upgrade/,test_plan_steps.py,
upgrade,/api/upgrade/plans/<id>/,DELETE,PlanDeleteView,@auth,upgrade.upgrade.del,apply_tenant_filter,no,no,record_audit_event,no,pages/upgrade/,test_plan_steps.py,
upgrade,/api/upgrade/filter-options/,GET,FilterOptionsView,@auth,upgrade.upgrade.view,N/A,no,no,no,no,pages/upgrade/,未验证,
