module,model,db_table,tenant_field,pk_type,business_unique_key,foreign_keys,logical_int_refs,soft_delete_fields,status_fields,check_constraints,unique_constraints,indexes,audit_fields,delete_protection,migrations_dir,known_consumers,risk_notes
department_duty_log,DepartmentDutyLog,department_duty_log_departmentdutylog,tenant_id,AutoField,"tenant_id+date+dept_id",created_by(FK User),,is_deleted+deleted_at,status,CheckConstraint(status in valid),unique_together(tenant_id,date,dept_id),,created_at+created_by+updated_at+updated_by+deleted_at,soft_delete,apps/department_duty_log/migrations/,evidence,114/114PASS
department_duty_log,DutyLogSign,department_duty_log_dutylogsign,tenant_id,AutoField,"log_id+user_id",log_id(FK DepartmentDutyLog)+user_id(FK User),,is_deleted+deleted_at,,无,unique_together(log_id,user_id),,created_at,,apps/department_duty_log/migrations/,department_duty_log,签署幂等
device,DeviceResume,device_deviceresume,tenant_id,AutoField,"tenant_id+device_code",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/device/migrations/,device/DeviceHistory,未加dedup
device,DeviceHistory,device_devicehistory,tenant_id,AutoField,无,device_id(FK DeviceResume)+created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at,soft_delete,apps/device/migrations/,device,逻辑外键device_id无DB约束
document,DocumentFilePrivate,document_documentfileprivate,tenant_id,AutoField,"tenant_id+folder_id+name",folder_id(FK DocumentFolderPrivate)+created_by(FK User)+updated_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,hard_delete+is_pending_clean,apps/document/migrations/,document/DocumentTransfer,物理删除+异步清理
document,DocumentFilePublic,document_documentfilepublic,无(公共空间),AutoField,"folder_id+name",folder_id(FK DocumentFolderPublic)+created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at,hard_delete,apps/document/migrations/,document,公共空间无租户隔离
document,DocumentFolderPrivate,document_documentfolderprivate,tenant_id,AutoField,"tenant_id+parent_id+name",parent_id(FK self)+created_by(FK User),,is_deleted+deleted_at,,,,unique_together(tenant_id,parent_id,name),created_at+created_by+updated_at,soft_delete,apps/document/migrations/,document,文件夹层级软删除
document,DocumentFolderPublic,document_documentfolderpublic,无(公共空间),AutoField,"parent_id+name",parent_id(FK self)+created_by(FK User),,is_deleted+deleted_at,,,,unique_together(parent_id,name),created_at+created_by+updated_at,soft_delete,apps/document/migrations/,document,公共空间
document,DocumentTransfer,document_documenttransfer,tenant_id,AutoField,transfer_id,created_by(FK User),file_id,无,status,,,,created_at+created_by+updated_at,无,apps/document/migrations/,document,状态机无DB约束; file_id逻辑外键
document,DocumentSystemFolder,document_documentsystemfolder,无(system_scope),AutoField,"system_scope+name",created_by(FK User),,,无,unique_together(system_scope,name),,created_at+created_by+updated_at,soft_delete,apps/document/migrations/,document/PartyBuilding,党建隔离fail-closed
duty,DutyRecord,duty_dutyrecord,tenant_id,AutoField,"tenant_id+date",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by,soft_delete,apps/duty/migrations/,duty,
evidence,EvidenceAttachment,evidence_evidenceattachment,tenant_id,AutoField,"object_id+content_type",created_by(FK User),object_id,无,无,,,,created_at+created_by+updated_at,hard_delete,apps/evidence/migrations/,多模块引用,多态object_id无DB约束; preview_token两套实现
fault,FaultRecord,fault_faultrecord,tenant_id,AutoField,"tenant_id+title",created_by(FK User),device_id,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/fault/migrations/,fault/FaultPart,device_id逻辑外键
fault,FaultPart,fault_faultpart,tenant_id,AutoField,"fault_record_id+part_name",fault_record_id(FK FaultRecord)+created_by(FK User),,is_deleted+deleted_at,,,,created_at+created_by+updated_at,soft_delete,apps/fault/migrations/,fault,
home,Navigation,home_navigation,tenant_id,AutoField,"tenant_id+sort_id",created_by(FK User)+parent_id(FK self),,is_deleted+deleted_at,is_active+sort_id,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/home/migrations/,home,22项审计修复; sort_id swap缺事务(已修复)
home,Notice,home_notice,tenant_id,AutoField,"tenant_id+title",created_by(FK User),,is_deleted+deleted_at,is_published+publish_time,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/home/migrations/,home,公告过期同步Beat
home,AnnouncementScope,home_announcementscope,tenant_id,AutoField,"notice_id+scope_type",notice_id(FK Notice),,,无,unique_together(notice_id,scope_type),,created_at,,apps/home/migrations/,home,
home,AnnouncementRead,home_announcementread,tenant_id,AutoField,"notice_id+user_id",notice_id(FK Notice)+user_id(FK User),,,,unique_together(notice_id,user_id),,created_at,,apps/home/migrations/,home,
interference,InterferenceRecord,interference_interferencerecord,tenant_id,AutoField,"tenant_id+title",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/interference/migrations/,evidence,11项审计修复
logs,AuditLog,logs_auditlog,无(全局),AutoField,无,user_id(FK User)+sequence_id(FK AuditLogSequence),,无,action+module,,,,created_at+created_by,,apps/logs/migrations/,maintenance/AuditLog,哈希链; 不可删除
logs,AuditLogSequence,logs_auditlogsequence,无(全局),AutoField,无,,,,,无,,created_at,,apps/logs/migrations/,logs/AuditLog,哈希链序列号
radio_license,RadioLicense,radio_license_radiolicense,tenant_id,AutoField,"tenant_id+license_no",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/radio_license/migrations/,evidence,28/28PASS
radio_license,StationFrequencyApproval,radio_license_stationfrequencyapproval,tenant_id,AutoField,"tenant_id+approval_no",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/radio_license/migrations/,evidence,P0/P1已修复
regulation,Regulation,regulation_regulation,tenant_id,AutoField,"tenant_id+number",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/regulation/migrations/,regulation,独立storage.py; 7项修复15/15PASS
reminder,Reminder,reminder_reminder,tenant_id,AutoField,"tenant_id+title",created_by(FK User),,is_deleted+deleted_at,is_active+remind_time,,,,created_at+created_by+updated_at+updated_by,soft_delete,apps/reminder/migrations/,home,Beat每5分钟; 10分钟窗口
reminder,WeeklyReminderLog,reminder_weeklyreminderlog,tenant_id,AutoField,无,reminder_id(FK Reminder),,无,无,,,,created_at,,apps/reminder/migrations/,reminder,无唯一约束
runlog,RunLog,runlog_runlog,tenant_id,AutoField,"tenant_id+title",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_by,soft_delete,apps/runlog/migrations/,runlog,
runlog,RunLogEventType,runlog_runlogeventtype,tenant_id,AutoField,"tenant_id+name",created_by(FK User),,,无,unique_together(tenant_id,name),,created_at+created_by+updated_at,soft_delete,apps/runlog/migrations/,runlog,
setting,AppSetting,setting_appsetting,无(GLOBAL),AutoField,key,,,,,,,is_active,,,,created_at+updated_at,hard_delete,apps/setting/migrations/,全系统,GLOBAL配置
setting,UserSetting,setting_usersetting,tenant_id,AutoField,"user_id+key",user_id(FK User),,,,,unique_together(user_id,key),,created_at+updated_at,hard_delete,apps/setting/migrations/,account,
signature,AccountSignature,signature_accountsignature,tenant_id,AutoField,"tenant_id+user_id",user_id(FK User),,is_deleted+deleted_at,is_active,,,,created_at+created_by+updated_at,soft_delete,apps/signature/migrations/,signature,超管限制
signature,SignatureUsage,signature_signatureusage,tenant_id,AutoField,无,signature_id(FK AccountSignature)+user_id(FK User),,无,,,,,created_at,,apps/signature/migrations/,signature,无唯一约束
signature,EvidenceEvent,signature_evidenceevent,tenant_id,AutoField,无,signature_id(FK AccountSignature)+usage_id(FK SignatureUsage),,无,,,,,created_at,,apps/signature/migrations/,signature,
upgrade,UpgradeRecord,tdyw_upgrade_records,tenant_id,AutoField,"tenant_id+title",created_by(FK User),,is_deleted+deleted_at,status,,,,created_at+created_by+updated_at+updated_by+deleted_at,soft_delete,apps/upgrade/migrations/,upgrade,19/19PASS
upgrade,UpgradeSystem,tdyw_upgrade_systems,tenant_id,AutoField,"tenant_id+name",created_by(FK User),,is_deleted+deleted_at,is_active+sort_order,,,,created_at+created_by+updated_at,soft_delete,apps/upgrade/migrations/,upgrade,unique_together(tenant_id,name)
upgrade,UpgradeTemplate,tdyw_upgrade_templates,tenant_id,AutoField,"tenant_id+name",created_by(FK User),,无,无,,,,created_at+created_by+updated_at,无,apps/upgrade/migrations/,upgrade,无is_deleted字段
upgrade,UpgradePlanStep,tdyw_upgrade_plan_steps,tenant_id,AutoField,"template_id+sequence",created_by(FK User),template_id,无,无,,,,created_at,,apps/upgrade/migrations/,upgrade,无is_deleted; 逻辑外键template_id
upgrade,UpgradeRecordStep,tdyw_upgrade_record_steps,tenant_id,AutoField,"upgrade_id+sequence",completed_by(CharField),upgrade_id,无,status,,,,created_at+completed_at,soft_delete,apps/upgrade/migrations/,upgrade,deleted_by为CharField非FK
upgrade,UpgradeStatusLog,tdyw_upgrade_status_logs,tenant_id,AutoField,无,upgrade_id+operator_id,upgrade_id,无,action+from_status+to_status,,,,created_at+operator_id+operator_name,无,apps/upgrade/migrations/,upgrade,状态机日志
