permission_code,backend_usage,frontend_route_usage,frontend_button_usage,role_code_definition,module,consistency_status,notes
device.device_history.edit,@auth装饰器,routes.js auth,pages/device/ 编辑按钮,Role权限管理页面,device,一致,
device.device_history.del,@auth装饰器,routes.js auth,pages/device/ 删除按钮,Role权限管理页面,device,一致,soft_delete
document.document.view,@document_auth,routes.js auth,pages/document/,Role权限管理页面,document,一致,自定义装饰器
document.document.add,@document_auth,routes.js auth,pages/document/ 上传按钮,Role权限管理页面,document,一致,
document.document.edit,@document_auth,routes.js auth,pages/document/ 编辑按钮,Role权限管理页面,document,一致,
document.document.del,@document_auth,routes.js auth,pages/document/ 删除按钮,Role权限管理页面,document,一致,hard_delete+物理删除
document.party_building_document.view,@document_auth,routes.js auth,pages/PartyBuildingDocuments/,Role权限管理页面,document,一致,党建隔离
document.party_building_document.add,@document_auth,routes.js auth,pages/PartyBuildingDocuments/ 上传按钮,Role权限管理页面,document,一致,
document.party_building_document.del,@document_auth,routes.js auth,pages/PartyBuildingDocuments/ 删除按钮,Role权限管理页面,document,一致,
document.regulation.view,@auth装饰器,routes.js auth,pages/regulation/,Role权限管理页面,regulation,一致,独立storage.py
document.regulation.add,@auth装饰器,routes.js auth,pages/regulation/ 新增按钮,Role权限管理页面,regulation,一致,
document.regulation.edit,@auth装饰器,routes.js auth,pages/regulation/ 编辑按钮,Role权限管理页面,regulation,一致,
document.regulation.del,@auth装饰器,routes.js auth,pages/regulation/ 删除按钮,Role权限管理页面,regulation,一致,soft_delete
duty.duty.view,@auth装饰器,routes.js auth,pages/duty/,Role权限管理页面,duty,一致,
duty.duty.add,@auth装饰器,routes.js auth,pages/duty/ 新增按钮,Role权限管理页面,duty,一致,
duty.duty.edit,@auth装饰器,routes.js auth,pages/duty/ 编辑按钮,Role权限管理页面,duty,一致,
duty.duty.del,@auth装饰器,routes.js auth,pages/duty/ 删除按钮,Role权限管理页面,duty,一致,soft_delete
fault.faultrecord.view,@auth装饰器,routes.js auth,pages/exec/fault/,Role权限管理页面,fault,一致,
fault.faultrecord.add,@auth装饰器,routes.js auth,pages/exec/fault/ 新增按钮,Role权限管理页面,fault,一致,
fault.faultrecord.edit,@auth装饰器,routes.js auth,pages/exec/fault/ 编辑按钮,Role权限管理页面,fault,一致,
fault.faultrecord.del,@auth装饰器,routes.js auth,pages/exec/fault/ 删除按钮,Role权限管理页面,fault,一致,soft_delete
fault.faultpart.view,@auth装饰器,routes.js auth,pages/exec/fault/,Role权限管理页面,fault,一致,
fault.faultpart.add,@auth装饰器,routes.js auth,pages/exec/fault/ 新增按钮,Role权限管理页面,fault,一致,
fault.faultpart.edit,@auth装饰器,routes.js auth,pages/exec/fault/ 编辑按钮,Role权限管理页面,fault,一致,
fault.faultpart.del,@auth装饰器,routes.js auth,pages/exec/fault/ 删除按钮,Role权限管理页面,fault,一致,soft_delete
home.announcement.view,AdminView+PERM_MAP,routes.js auth,pages/home/,Role权限管理页面,home,一致,
home.announcement.add,AdminView+PERM_MAP,routes.js auth,pages/home/ 新增按钮,Role权限管理页面,home,一致,
home.announcement.edit,AdminView+PERM_MAP,routes.js auth,pages/home/ 编辑按钮,Role权限管理页面,home,一致,
home.announcement.del,AdminView+PERM_MAP,routes.js auth,pages/home/ 删除按钮,Role权限管理页面,home,一致,soft_delete
home.navigation.view,AdminView+PERM_MAP,routes.js auth,pages/home/,Role权限管理页面,home,一致,22项修复
home.navigation.add,AdminView+PERM_MAP,routes.js auth,pages/home/ 新增按钮,Role权限管理页面,home,一致,
home.navigation.edit,AdminView+PERM_MAP,routes.js auth,pages/home/ 编辑按钮,Role权限管理页面,home,一致,
home.navigation.del,AdminView+PERM_MAP,routes.js auth,pages/home/ 删除按钮,Role权限管理页面,home,一致,soft_delete
home.reminder.view,_can_manage函数,routes.js auth,pages/reminder/,Role权限管理页面,reminder,一致,非@auth装饰器
home.reminder.add,_can_manage函数,routes.js auth,pages/reminder/ 新增按钮,Role权限管理页面,reminder,一致,
home.reminder.edit,_can_manage函数,routes.js auth,pages/reminder/ 编辑按钮,Role权限管理页面,reminder,一致,
home.reminder.del,_can_manage函数,routes.js auth,pages/reminder/ 删除按钮,Role权限管理页面,reminder,一致,soft_delete
interference.view,@auth装饰器,routes.js auth,pages/interference/,Role权限管理页面,interference,一致,
interference.add,@auth装饰器,routes.js auth,pages/interference/ 新增按钮,Role权限管理页面,interference,一致,
interference.edit,@auth装饰器,routes.js auth,pages/interference/ 编辑按钮,Role权限管理页面,interference,一致,
interference.del,@auth装饰器,routes.js auth,pages/interference/ 删除按钮,Role权限管理页面,interference,一致,soft_delete
radio_license.license.view,@auth装饰器,routes.js auth,pages/radioLicense/,Role权限管理页面,radio_license,一致,
radio_license.license.add,@auth装饰器,routes.js auth,pages/radioLicense/ 新增按钮,Role权限管理页面,radio_license,一致,
radio_license.license.edit,@auth装饰器,routes.js auth,pages/radioLicense/ 编辑按钮,Role权限管理页面,radio_license,一致,
radio_license.license.del,@auth装饰器,routes.js auth,pages/radioLicense/ 删除按钮,Role权限管理页面,radio_license,一致,soft_delete
radio_license.approval.view,@auth装饰器,routes.js auth,pages/stationFrequencyApproval/,Role权限管理页面,radio_license,一致,28/28PASS
radio_license.approval.add,@auth装饰器,routes.js auth,pages/stationFrequencyApproval/ 新增按钮,Role权限管理页面,radio_license,一致,P0已修复
radio_license.approval.edit,@auth装饰器,routes.js auth,pages/stationFrequencyApproval/ 编辑按钮,Role权限管理页面,radio_license,一致,
radio_license.approval.del,@auth装饰器,routes.js auth,pages/stationFrequencyApproval/ 删除按钮,Role权限管理页面,radio_license,一致,P1已修复
runlog.runlog.view,@auth装饰器,routes.js auth,pages/runlog/,Role权限管理页面,runlog,一致,
runlog.runlog.add,@auth装饰器,routes.js auth,pages/runlog/ 新增按钮,Role权限管理页面,runlog,一致,
runlog.runlog.edit,@auth装饰器,routes.js auth,pages/runlog/ 编辑按钮,Role权限管理页面,runlog,一致,
runlog.runlog.del,@auth装饰器,routes.js auth,pages/runlog/ 删除按钮,Role权限管理页面,runlog,一致,soft_delete
upgrade.upgrade.view,@auth装饰器,routes.js auth,pages/upgrade/,Role权限管理页面,upgrade,一致,19/19PASS
upgrade.upgrade.add,@auth装饰器,routes.js auth,pages/upgrade/ 新增按钮,Role权限管理页面,upgrade,一致,
upgrade.upgrade.edit,@auth装饰器,routes.js auth,pages/upgrade/ 编辑按钮,Role权限管理页面,upgrade,一致,
upgrade.upgrade.del,@auth装饰器,routes.js auth,pages/upgrade/ 删除按钮,Role权限管理页面,upgrade,一致,soft_delete
signature.* (超管限制),SupperOnlyView,无前端入口,无按钮,超管自动拥有,signature,后端存在前端不可配置,超管only; 无细粒度权限码
evidence.* (各模块内嵌),各模块权限,无独立前端入口,各模块内嵌,各模块自带,evidence,后端存在前端内嵌,无独立权限码; 依赖各模块权限
